country,year,iso_code,gdp,population,renewables_share_energy,fossil_share_energy,low_carbon_share_energy,coal_share_energy,oil_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,electricity_demand_per_capita,renewables_elec_per_capita,solar_share_elec,wind_share_elec,nuclear_share_elec,energy_per_gdp,renewable_share_lag_1,renewable_share_lag_2,renewable_share_lag_3,renewable_share_lag_4,renewable_share_lag_5,renewable_ma_3,renewable_ma_5,renewable_trend_3,renewable_trend_5,fossil_cons_change_pct,paris_agreement,years_since_paris,policy_strength,renewable_tech_index,tech_growth_rate,energy_intensity,energy_per_capita,gdp_renewable_interaction,population_renewable_interaction,policy_economic_interaction,region,region_renewable_avg,renewable_growth,economic_group,energy_group,combined_group
Algeria,-1.4715801269602082,DZA,-0.7337413175332651,-0.24619523555571401,-1.0296594150981988,1.2149587474782155,-1.214958781197212,-0.914950426702619,-0.2617305342551581,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-0.9998500444173043,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,1.8906099081917696,-1.0143818075428457,-1.005835299164869,-0.9988348442225153,-0.9914516847610322,-0.9850634892077413,-1.0246414012098555,-1.016142806070195,-0.4020455554582265,-0.42517302790407685,0.20190575326184382,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.5686519829285186,-0.9340725280700862,-0.8433491240438589,-0.8225274258548503,0.0,DZ,-1.0901575168172806,-0.1409002783370033,low_income,fossil_dependent,low_income_fossil_dependent
Algeria,-1.3768968512505007,DZA,-0.7274901667608772,-0.22878408351503798,-1.0147998088823824,1.2030684936878637,-1.2030685270768686,-0.9081621906945242,-0.26553128919438435,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-0.9914376947124359,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,1.7316015725881633,-1.0204283052439598,-1.005835299164869,-0.9988348442225153,-0.9914516847610322,-0.9850634892077413,-1.0170175731145419,-1.0084058525469115,-0.4020455554582265,-0.42517302790407685,0.08500380486867903,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.5727108950676935,-0.9538400096201961,-0.839847541254312,-0.8112657552565454,0.0,DZ,-1.0744161415446156,2.8800432497770396,low_income,fossil_dependent,low_income_fossil_dependent
Algeria,-1.2822135755407933,DZA,-0.7143102041701135,-0.2114135308818796,-1.0240501597716987,1.2104703735308644,-1.2104704071252943,-0.8812780876921682,-0.3161836579036894,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-0.996795399616516,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,1.6073763103978456,-1.0054607453608742,-1.0117307862149079,-0.9988348442225153,-0.9914516847610322,-0.9850634892077413,-1.017640269890539,-1.009037789148151,-0.4020455554582265,-0.42517302790407685,0.2813001777750964,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.5613661701540585,-0.9523923556493592,-0.8417421026228146,-0.8178237406822723,0.0,DZ,-1.0842154082706457,-2.720201159031545,low_income,fossil_dependent,low_income_fossil_dependent
Algeria,-1.1875302998310857,DZA,-0.7099157843797493,-0.1942796761872573,-1.007714433733119,1.1973989687017372,-1.1973990019333935,-0.905877041939324,-0.13981401043535982,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-0.9890309187624197,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,1.2512638921189363,-1.014778299195378,-0.996642336307181,-1.0045990687935953,-0.9914516847610322,-0.9850634892077413,-1.010134249293387,-1.0051009949161052,-0.2424856401138039,-0.42517302790407685,0.07291673151037129,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.5924649932815935,-1.0054562370006994,-0.8376139133106105,-0.8048050118684188,0.0,DZ,-1.0669103202225503,2.8800432497770396,low_income,fossil_dependent,low_income_fossil_dependent
Algeria,-1.0928470241213781,DZA,-0.702242465369488,-0.17780581631790804,-1.026116727523567,1.2121239849851515,-1.2121240186254745,-0.917974888290384,-0.2890667332411322,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-0.9989237056219025,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,1.1866667557799717,-0.998323895615297,-1.0060351461835144,-0.9893289300175759,-0.9971819050871209,-0.9850634892077413,-1.0140050670901246,-1.006571528466557,-0.46351535891058604,-0.42517302790407685,0.35599053146845633,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.5869908442367135,-1.0097253059291815,-0.8420531436579614,-0.8188534005758337,0.0,DZ,-1.0864046061562478,-2.7630601095259206,low_income,fossil_dependent,low_income_fossil_dependent
Algeria,-0.9981637484116707,DZA,-0.681593882428951,-0.16250984817279304,-1.024246975748067,1.210627860336034,-1.2106278939348354,-0.9236877601783846,-0.44891771501205463,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-0.9977373668271777,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,1.0392527779807945,-1.0168598803711713,-0.9894478436359471,-0.9988348442225153,-0.9817307752792744,-0.990772121001913,-1.0140723856605025,-1.0054442902048863,-0.3896208079518985,-0.40051323979104136,0.19069659061727737,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.5711958097421734,-1.0002894736900798,-0.8412082594006091,-0.8170925021384193,0.0,DZ,-1.0844239033073695,0.5827076901181445,low_income,fossil_dependent,low_income_fossil_dependent
Algeria,-0.9034804727019632,DZA,-0.6595086882129112,-0.14818651290889134,-1.0294625991218305,1.2148012606730445,-1.2148012943876711,-1.0048105409879933,-0.5352387069971757,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-1.0007479679122335,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,0.7411121487240335,-1.014976545021644,-1.008133539879291,-0.98204780424358,-0.9913493593980663,-0.9750993318942779,-1.0215110876872764,-1.0084980811319575,-0.5328323713143106,-0.5031784800983728,0.24837906370359247,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.5758077715050348,-1.0153405822804265,-0.8423693734056127,-0.8211332347570749,0.0,DZ,-1.0899490217805565,-2.379367891276893,low_income,fossil_dependent,low_income_fossil_dependent
Algeria,-0.8087971969922557,DZA,-0.6440524714938525,-0.13429365576397553,-1.034875038471962,1.2191321478152257,-1.2191321816500478,-0.944119678460175,-0.46031997982973405,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-1.0037514651721715,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,0.45953488775931406,-1.0202300594176938,-1.0062349932021597,-1.0009585059065973,-0.9743633491457317,-0.9848559025970443,-1.0245067640690995,-1.010752557655298,-0.4465130728492951,-0.4835513018043242,0.24995805036562793,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.592603071974137,-1.0441625024587216,-0.843870096619953,-0.8254924464081194,0.0,DZ,-1.0956826352904676,-2.7630601095259206,low_income,fossil_dependent,low_income_fossil_dependent
Algeria,-0.7141139212825481,DZA,-0.6146965893393774,-0.1216096205325867,-1.0218851840316459,1.2087380186739916,-1.2087380522203437,-0.9395493809497746,-0.4704065987069115,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-0.9971576946975399,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,0.30052655215570817,-1.02568181964001,-1.0115309391962626,-0.9990370977162373,-0.9934981920203496,-0.9676262139091804,-1.023698941224563,-1.0137038723767624,-0.37261852189060757,-0.5006621751888795,0.1002740116191927,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.5780330161060873,-1.0344678863274785,-0.8392099693775824,-0.8143459994404414,0.0,DZ,-1.0819219628666812,2.8800432497770396,low_income,fossil_dependent,low_income_fossil_dependent
Algeria,-0.6194306455728407,DZA,-0.5893680540341256,-0.10969493841914381,-1.0231644878780406,1.2097616829075983,-1.20976171648236,-0.9311480987615384,-0.5353117984383148,0.7712794377545734,-0.327267751906699,-1.1817733342759351,-0.9978623941492566,-0.3595007380705098,-0.5036535707659594,-0.6224381630098917,0.1332365324060809,-1.0125975951064516,-1.017026732209011,-1.0043968152998735,-0.991554010123998,-0.9870355620093643,-1.0215447469724654,-1.013089015143124,-0.34646115871939076,-0.4130947643385084,0.2163341407358735,-0.5835817103780867,0.0,0.0,-0.533473349743987,-0.7279813450943893,-0.5736634046690846,-1.0364312918580154,-0.8391703978525061,-0.8152070058611538,0.0,DZ,-1.0832771806053874,-0.7224288481173803,low_income,fossil_dependent,low_income_fossil_dependent
