gdp,population,fossil_share_energy,low_carbon_share_energy,coal_share_energy,oil_share_energy,carbon_intensity_elec,greenhouse_gas_emissions,electricity_demand_per_capita,renewables_elec_per_capita,solar_share_elec,wind_share_elec,nuclear_share_elec,energy_per_gdp,renewable_share_lag_1,renewable_share_lag_2,renewable_share_lag_3,renewable_share_lag_4,renewable_share_lag_5,fossil_cons_change_pct,paris_agreement,renewable_growth,renewables_share_energy
-0.3222108427228305,-0.2609863647944094,99.947,0.053,1.881,34.384,0.7152136625463622,-0.2832647008935138,-1.0530770675209415,-0.45671170297722846,0.0,0.0,0.0,-0.30431842590305913,0.193,0.206,0.074,0.129,0.182,0.18857258064515373,0,-0.7253886010362695,0.053
-0.31800178652562244,-0.2592959180791587,99.935,0.065,2.095,34.354,0.7137522824893053,-0.28220845951530865,-1.046819762179385,-0.45654338568395547,0.0,0.0,0.0,-0.35319134341139535,0.053,0.193,0.206,0.074,0.129,0.12727868398745934,0,0.2264150943396228,0.065
-0.31178972489333084,-0.2576159543855684,99.948,0.052,2.655,36.775,0.7126080347613462,-0.2813168271830576,-1.041964997957903,-0.45663774125869816,0.0,0.0,0.0,-0.43533943879774784,0.065,0.053,0.193,0.206,0.074,0.13734753783973647,0,-0.20000000000000007,0.052
-0.30380325835408134,-0.2559063892397404,99.772,0.228,2.092,36.559,0.6959543019117187,-0.2797941935079827,-1.0311873686838695,-0.4549480422919798,0.0,0.0,0.0,-0.5185273834927884,0.052,0.065,0.053,0.193,0.206,0.061231835936500126,0,3.384615384615385,0.228
-0.29723323371542076,-0.2541051571268972,99.793,0.207,2.404,36.808,0.6979728063307029,-0.2783127120943963,-1.0226713287312148,-0.45506251980485213,0.0,0.0,0.0,-0.5736393968532527,0.228,0.052,0.065,0.053,0.193,0.1405835753463081,0,-0.0921052631578948,0.207
-0.2887164167342056,-0.25233483486158215,99.566,0.434,1.886,36.643,0.6754864099688925,-0.2762413815994745,-1.007341754118521,-0.4526155289774465,0.0,0.0,0.0,-0.6339506567571571,0.207,0.228,0.052,0.065,0.053,0.04055086934644617,0,1.0966183574879227,0.434
-0.28337916961484194,-0.2504380898925367,99.837,0.163,2.705,36.877,0.703381198213418,-0.2747873350268804,-1.0019129735375785,-0.4553643488767957,0.0,0.0,0.0,-0.6589070401656693,0.434,0.207,0.228,0.052,0.065,0.24166862735768563,0,-0.6244239631336406,0.163
-0.2760291152560942,-0.24826237125856382,99.84,0.16,2.203,39.133,0.7038183265589305,-0.2730726574648591,-0.9934450244734937,-0.4553931721935759,0.0,0.0,0.0,-0.6817837249568055,0.163,0.434,0.207,0.228,0.052,0.13332095027483606,0,-0.018404907975460127,0.16
-0.26923589430228023,-0.24593994582902448,99.812,0.188,2.079,40.116,0.7013455515063739,-0.2704526301500906,-0.9785884533949538,-0.454951033390891,0.0,0.0,0.0,-0.6859431221915575,0.16,0.163,0.434,0.207,0.228,0.12082293477094215,0,0.17500000000000004,0.188
-0.2628402100379813,-0.24345618336567104,99.787,0.213,1.259,40.132,0.6979085227504805,-0.27200269866615784,-0.9938001065137568,-0.4548357401237702,0.0,0.0,0.0,-0.6838634235741815,0.188,0.16,0.163,0.434,0.207,0.12202958918524662,0,0.1329787234042552,0.213
-0.25365033892067057,-0.24083817161584986,99.885,0.115,0.821,41.37,0.7084296020468872,-0.2655555110329577,-0.954186829104221,-0.45586440623112384,0.0,0.0,0.0,-0.7868085051342941,0.213,0.188,0.16,0.163,0.434,0.17164215750813835,0,-0.460093896713615,0.115
-0.24478188163032333,-0.23811353754436032,99.765,0.235,0.689,41.385,0.6927701219047001,-0.2610150448487253,-0.9268762550377522,-0.4534331866525225,0.0,0.0,0.0,-0.7972069982211741,0.115,0.213,0.188,0.16,0.163,0.08375395364688568,0,1.043478260869565,0.235
-0.24014166201412815,-0.23527067211662542,99.775,0.225,0.669,40.261,0.6902287776999064,-0.2556926856962112,-0.8958308415521157,-0.4526288529635053,0.0,0.0,0.0,-0.7400152862433339,0.235,0.115,0.213,0.188,0.16,0.13614606908472093,0,-0.04255319148936165,0.225
-0.23619037981747626,-0.23233645690861238,99.935,0.065,0.342,39.774,0.704139744460043,-0.253264702268389,-0.8882555384334047,-0.4547922332305171,0.0,0.0,0.0,-0.7098596562913816,0.225,0.235,0.115,0.213,0.188,0.19665915422488983,0,-0.711111111111111,0.065
-0.2306777764244883,-0.22932500673012116,99.882,0.118,0.355,37.896,0.7084296020468872,-0.2493552374269804,-0.8707790020967455,-0.4553996982275639,0.0,0.0,0.0,-0.6547476429309173,0.065,0.225,0.235,0.115,0.213,0.1107642316593094,0,0.8153846153846152,0.118
-0.22510626942950893,-0.22622062083766645,99.903,0.097,0.25,38.242,0.7102295422931154,-0.24532231580110628,-0.8517007536996787,-0.45564061764895303,0.087,0.029,0.0,-0.634990506065845,0.118,0.065,0.225,0.235,0.115,0.14057424497888057,1,-0.17796610169491522,0.097
-0.22010939959001008,-0.22306389913359406,99.854,0.146,0.092,37.207,0.7058668299820193,-0.24349789887511558,-0.8484641710209911,-0.45486184425972204,0.127,0.042,0.0,-0.6724250811786133,0.097,0.118,0.065,0.225,0.235,0.1123690194436508,1,0.5051546391752575,0.146
-0.21785330535188271,-0.21990305400193969,99.753,0.247,0.339,36.152,0.6962285785206677,-0.23934152046477594,-0.8295618166958172,-0.4529230683291296,0.749,0.013,0.0,-0.6755446291046774,0.146,0.097,0.118,0.065,0.225,0.09139791867808035,1,0.6917808219178083,0.247
-0.21589244350036293,-0.21676901114956829,99.712,0.288,0.868,34.017,0.6914287378640586,-0.2389025630088985,-0.8325219316635021,-0.45209480584882317,0.847,0.013,0.0,-0.607954424039957,0.247,0.146,0.097,0.118,0.065,0.11556743038839876,1,0.165991902834008,0.288
-0.2853481029947493,-0.25359974385037065,85.68,14.32,2.391,44.827,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.30846930600543343,0.0,0.0,14.275,-0.22528987844277057,11.482,11.4085,11.482,11.407,11.332,0.12977125253783695,0,0.01957831325301207,10.292
-0.27478542261823646,-0.2517437732363764,86.698,13.302,2.07,46.089,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.3257336570025229,0.0,0.0,14.402,-0.3583905899548355,10.292,11.4085,11.482,11.407,11.332,0.6103570450339048,0,-0.11766420520792853,9.081
-0.2632841255440589,-0.2499099819049723,86.201,13.799,2.176,45.182,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.30085478393188764,0.0,0.0,12.621,-0.4041439595371076,9.081,10.292,11.482,11.407,11.332,-0.0986323380882276,0,0.12399515471864353,10.207
-0.2553280385676887,-0.2480902815943628,83.978,16.022,1.397,42.88,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.26644953274731453,0.0,0.0,12.527,-0.448857479810692,10.207,9.081,10.292,11.407,11.332,-0.9059183962144274,0,0.1968257078475555,12.216
-0.24735890725923473,-0.24626068505755652,82.855,17.145,1.161,42.955,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.24123756002521005,0.0,0.0,12.549,-0.46133567151494814,12.216,10.207,9.081,10.292,11.332,-0.40615451268855424,0,0.08922724296005247,13.306
-0.2505655677680881,-0.24444709059163577,84.273,15.727,1.18,41.313,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.2500006640806384,0.0,0.0,10.52,-0.38438682267203556,13.306,12.216,10.207,9.081,10.292,0.820986051127525,0,-0.05794378475875539,12.535
-0.24269299791648194,-0.242689701615525,86.555,13.445,1.182,39.539,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.28270234847626874,0.0,0.014,10.692,-0.4031041102284197,12.535,13.306,12.216,10.207,9.081,1.2220696753924418,0,-0.18428400478659757,10.225
-0.2307675652195857,-0.24099827162138937,84.088,15.912,0.922,41.414,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.243679112490959,0.0,0.02,10.986,-0.4987702466277164,10.225,12.535,13.306,12.216,10.207,-1.015142786846834,0,0.22386308068459648,12.514
-0.22424402609010421,-0.23934403177217597,85.446,14.554,1.197,41.15,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.256666735881266,0.0,0.044,10.049,-0.5091687397145962,12.514,10.225,12.535,13.306,12.216,0.7821639151297419,0,-0.08246763624740294,11.482
-0.2288580735435623,-0.2376794516353339,87.879,12.121,1.42,41.247,-0.32369684807462107,-0.2309601765416158,-0.5017171162008516,-0.29621504568452445,0.0,0.043,8.801,-0.4550965756628201,11.482,12.514,10.225,12.535,13.306,1.278239232222841,0,-0.19656854206584218,9.225
